district_id,district_name,total_output,total_employment,government_output,private_output,private_share,growth_rate,high_value_ratio,recovery_speed,roi_multiplier,commercial_velocity,manufacturing_export_ratio,innovation_factor,recovery_metric,sector_momentum,composite_score,rank,tier
2,Manufacturing,36287,110,0,36287,1,7.964891401368646,91.1070080194009,29.017684887459808,50,7.964891401368646,91.1070080194009,45.55350400970045,29.017684887459808,1194.7337102052968,37.84205508463893,1,Tier 1 - Investment Magnets
6,Information,27670,70,0,27670,1,-6.975962346612874,98.39898807372606,12.841162420382165,50,-6.975962346612874,98.39898807372606,98.39898807372606,12.841162420382165,0,28.00984821105891,2,Tier 1 - Investment Magnets
5,Transportation & Warehousing,2535,11,0,2535,1,90.31531531531532,0,23.483870967741936,50,90.31531531531532,0,0,23.483870967741936,13547.297297297298,21.75,3,Tier 1 - Investment Magnets
9,Educational & Health Services,130362,83,0,130362,1,23.05034830378887,0,156.9992684711046,50,23.05034830378887,0,0,156.9992684711046,3457.5522455683304,20.360069660757773,4,Tier 2 - Strong Performers
8,Professional Services,485873,824,0,485873,1,15.895418787598325,0.17967658215212617,52.0130032806442,50,15.895418787598325,0.17967658215212617,0.17967658215212617,52.0130032806442,2384.3128181397487,18.9829867321653,5,Tier 2 - Strong Performers
3,Wholesale Trade,27134,85,0,27134,1,16.86622448100612,0,0,50,16.86622448100612,0,0,0,2529.933672150918,18.373244896201225,6,Tier 2 - Strong Performers
4,Retail Trade,636,6,0,636,1,64.34108527131784,0,5.8316831683168315,0,64.34108527131784,0,0,5.8316831683168315,9651.162790697676,16.75,7,Tier 3 - Steady Growth
11,Government - Federal,32048,0,32048,0,0,27.992331962139062,0,97.93486590038314,0,0,0,0,97.93486590038314,1399.616598106953,10.75,8,Tier 3 - Steady Growth
1,Mining,3,0,0,3,1,0,0,1.75,0,0,0,0,1.75,0,0,9,Minimal Activity
7,Finance & Real Estate,475,2,0,475,1,111.11111111111111,0,9.627118644067796,0,111.11111111111111,0,0,9.627118644067796,16666.666666666668,0,10,Minimal Activity
10,Arts & Entertainment,233,2,0,233,1,2.1929824561403466,0,0,0,2.1929824561403466,0,0,0,328.947368421052,0,11,Minimal Activity
12,Government - State & Local,3,0,3,0,0,50,0,6,0,0,0,0,6,2500,0,12,Minimal Activity
